listing_id	listing_name	location_address	season_month	products	share_size	share_itemsinsharebox	share_availabledate	share_paymentoption	deliverpickup_method	specialproductionmethods	acceptedpayment	FNAP
200093	Field Goods Farm	"2310 Annett St., Boise, Idaho 83705"	May to October	"Pears;Plums (black, green, red, etc.);;Artichoke;Arugula;Beans, other (lima, etc.);Beets;Bok Choy;Broccolini/baby broccoli;Carrots;Cauliflower;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Garlic;Green beans;Green onions/scallions;Kale;Kohlrabi;Leeks;Mixed leafy greens;Okra;Parsnips;Peanuts;Peas;Peppers, hot;Potatoes (new, red, russet, etc.);Radicchio;Rhubarb;Rutabaga;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;;Cut flowers;"	Full shares;Half shares;	CSA decides product based on supply availability;		One advance payment prior to the beginning of the delivery season;	Deliver to customers' workplaces;Customers pick up from CSA farm;Deliver to one or more neighborhood sites;	Organic (USDA Certified);No pesticides;	Cash;Personal Checks;	
200094	River City Farm	"3304 15th St., Lewiston, Idaho 83501"	March to October	"cantaloupe, honeydew, & israeli melonsCherries (sweet, tart, etc.);Plums (black, green, red, etc.);cantaloupe, honeydew, & israeli melons;;tatsoi, pac choiArtichoke;Arugula;Beans (string);Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Broccolini/baby broccoli;Brussels sprouts;Cabbage;Carrots;Cauliflower;Celery;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Endives;Garlic;Green beans;Kale;Kohlrabi;Leeks;Mixed leafy greens;Mizuna;Mustard Greens;Okra;Parsnips;Peanuts;Peas;Peppers, hot;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Radishes;Rhubarb;Rutabaga;Soybeans;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Swiss chard;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;Turnips;tatsoi, pac choi;;Baked goods: breads, pies, etc.;Canned or preserved fruits/vegetables: jams, jellies, preserves, salsas, pickles, dried fruit, etc.;Cut flowers;Dry beans;Eggs;Fresh and/or dried herbs;"	Full shares;Half shares;	"CSA decides product based on supply availability;We have a market-style CSA. Shares are not packed in boxes, instead options are laid out and members come to the farm to chose their vegetables. We display the amounts and options on chalkboards. Some items;"	2014-05-27	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;Reduced subscription/membership fees in exchange for labor;	Deliver to one or more neighborhood sites;	Organic (USDA Certified);No pesticides;Humane treatment of animals;	Cash;Personal Checks;	
200096	True Roots Organics	"5444 hogg rd, Meridian, Idaho 83639"	June to October									
200097	Angelic Organics	"1547 Rockton Rd, Caledonia, Illinois 61011"	June to November	"Artichoke;Arugula;Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Carrots;Cauliflower;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Endives;Garlic;Green beans;Kale;Kohlrabi;Mixed leafy greens;Mizuna;Okra;Onions (pearl, red, white, etc.);Parsnips;Peanuts;Peas;Peppers, hot;Potatoes (new, red, russet, etc.);Radicchio;Radishes;Rhubarb;Shallots;Soybeans;Squash, summer: zucchini, etc.;Sweet potatoes;Swiss chard;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;Turnips;;Fresh and/or dried herbs;"	Full shares;Half shares;	CSA decides product based on supply availability;		One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;		Organic (USDA Certified);	Personal Checks;Debit card/Credit card;	
200098	August Creek Farm	"1414 N 2400 East Rd., Assumption, Illinois 62510"	June to October	"Artichoke;Arugula;Beans (string);Beets;Bok Choy;Broccoli;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Celery;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Garlic;Kale;Kohlrabi;Mixed leafy greens;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Parsnips;Peanuts;Peas;Peppers, hot;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Radishes;Rhubarb;Rutabaga;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;;Cut flowers;Fresh and/or dried herbs;"	Full shares;Half shares;	CSA decides product based on supply availability;	2014-03-15	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;	Deliver directly to customer's homes;Deliver to one or more neighborhood sites;	Organic (USDA Certified);No pesticides;	Cash;Personal Checks;	
200099	Browns Fresh Produce	"304 Brown St., Bloomington, Illinois 61701"	May to October	"Apples;Figs;Grapes (black, green, red, etc.);Plums (black, green, red, etc.);;Artichoke;Arugula;Beans, other (lima, etc.);Broccoli;Broccoli rabe;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Kale;Kohlrabi;Mixed leafy greens;Okra;Onions (pearl, red, white, etc.);Peanuts;Peas;Peppers, sweet;Potatoes (new, red, russet, etc.);Radicchio;Rhubarb;Spinach: baby, regular;Squash, winter: butternut, etc.;Sweet potatoes;Swiss chard;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;;Cut flowers;"	Full shares;Half shares;	CSA decides product based on supply availability;	2014-05-20	One advance payment prior to the beginning of the delivery season;	Deliver to one or more neighborhood sites;	Organic (USDA Certified);	Cash;Personal Checks;	
200100	Freedom Organix	"8406 Maxon Road, Harvard, Illinois 60033"	Year-round	"Pears;Plums (black, green, red, etc.);;Alfalfa sprouts;Beets;Cabbage;Celery;Cucumbers;Garlic;Kale;Lettuce (head, leaf, etc.);Mizuna;Onions (pearl, red, white, etc.);Peas;Potatoes (new, red, russet, etc.);Radishes;Squash, summer: zucchini, etc.;Swiss chard;Tomatoes (plum, round, etc.);;Cut flowers;Dairy products: milk, cheese, etc.;Eggs;Fresh and/or dried herbs;Mushrooms;Beef/veal (sausage);Beef/veal (steaks, roasts);Lamb (chops, roasts);Lamb (ground);Pork (bacon);Rabbit;;"	Half shares;	CSA decides product based on supply availability;	2014-06-12	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;	Deliver to one or more neighborhood sites;	Organic (USDA Certified);No antibiotics;No hormones;No pesticides;Humane treatment of animals;	Cash;Personal Checks;	
200101	Gray Farms	"2177 N 1930 East RD, Watseka, Illinois 60970"	June to October	"Figs;Pears;;Artichoke;Arugula;Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Broccoli rabe;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Collard Greens;Corn (sweet);Cucumbers;Eggplant (Italian, Japanese, etc.);Garlic;Green beans;Green onions/scallions;Kale;Kohlrabi;Leeks;Lettuce (head, leaf, etc.);Mixed leafy greens;Mizuna;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Parsnips;Peanuts;Peas;Peppers, hot;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Radishes;Rhubarb;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Swiss chard;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;Turnips;;Cut flowers;Fresh and/or dried herbs;"	Half shares;	CSA decides product based on supply availability;		One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;	Deliver directly to customer's homes;Deliver to one or more neighborhood sites;	Organic (USDA Certified);No pesticides;	Cash;Personal Checks;Debit card/Credit card;	
200102	Harrison Market Gardens	"9024 Harrison Road, Winnebago, Illinois 61088"	May to October	"Cherries (sweet, tart, etc.);Pears;;Artichoke;Arugula;Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Broccoli rabe;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Celery;Collard Greens;Corn (sweet);Cucumbers;Eggplant (Italian, Japanese, etc.);Endives;Garlic;Green beans;Green onions/scallions;Kale;Kohlrabi;Mixed leafy greens;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Parsnips;Peanuts;Peas;Peppers, hot;Peppers, sweet;Potatoes (new, red, russet, etc.);Radicchio;Rhubarb;Rutabaga;Soybeans;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Swiss chard;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;Turnips;;Eggs;Fresh and/or dried herbs;Honey;Mushrooms;"	Half shares;Every Other Week shares  (EOW);	CSA decides product based on supply availability;	2014-06-04	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;Reduced subscription/membership fees in exchange for labor;	Deliver directly to customer's homes;Deliver to customers' workplaces;Deliver to one or more neighborhood sites;	Organic (USDA Certified);No pesticides;	Cash;Personal Checks;	
200103	Midnight Sun Farm	"32400 N. Harris Rd., Grayslake, Illinois 60030"	May to November	"Artichoke;Arugula;Beans (string);Beans, other (lima, etc.);Beets;Bok Choy;Broccoli rabe;Broccolini/baby broccoli;Carrots;Cauliflower;Collard Greens;Corn (sweet);Cucumbers;Eggplant (Italian, Japanese, etc.);Endives;Garlic;Green beans;Kale;Kohlrabi;Leeks;Mixed leafy greens;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Peanuts;Peas;Peppers, hot;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Radishes;Rhubarb;Shallots;Spinach: baby, regular;Squash, summer: zucchini, etc.;Sweet potatoes;Swiss chard;Tomatoes (cherry, grape, etc.);Turnip greens;Turnips;;Dry beans;Eggs;Fresh and/or dried herbs;Mushrooms;"	Half shares;	CSA decides product based on supply availability;CSA offers options for specific product categories;	2014-01-01	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;Reduced subscription/membership fees in exchange for labor;	Deliver directly to customer's homes;Deliver to one or more neighborhood sites;	Organic (USDA Certified);No antibiotics;No hormones;Humane treatment of animals;	Cash;Personal Checks;	SNAP;
200104	M's  Organic Sustainable Farm	"14101 W. Washington Street, Woodstock, Illinois 60098"	June to October	"specialty greens and summer squashes, pestos, fresh salsaArtichoke;Arugula;Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Garlic;Green beans;Kale;Kohlrabi;Mixed leafy greens;Mustard Greens;Okra;Parsnips;Peanuts;Peas;Peppers, hot;Peppers, sweet;Potatoes (new, red, russet, etc.);Radicchio;Rhubarb;Soybeans;Spinach: baby, regular;Squash, summer: zucchini, etc.;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;specialty greens and summer squashes, pestos, fresh salsa;;Eggs;Soap and/or body care products;"	Full shares;Half shares;	CSA decides product based on supply availability;	2014-06-11	One advance payment prior to the beginning of the delivery season;	Deliver directly to customer's homes;Deliver to one or more neighborhood sites;	"Organic (USDA Certified);No antibiotics;No hormones;No pesticides;Pasture-raised/free-range animals;Fair labor practices, living wage, fair trade, etc.;Certified Naturally Grown!;"	Cash;Personal Checks;	
200105	Radical Root Organic Farm	"31330 N IL RT 21, Libertyville, Illinois 60048"	May to November	"Artichoke;Arugula;Beans (string);Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Broccoli rabe;Broccolini/baby broccoli;Brussels sprouts;Carrots;Cauliflower;Collard Greens;Corn (sweet);Cucumbers;Eggplant (Italian, Japanese, etc.);Endives;Garlic;Green beans;Kale;Kohlrabi;Leeks;Lettuce (head, leaf, etc.);Mixed leafy greens;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Parsnips;Peanuts;Peas;Peppers, hot;Peppers, sweet;Potatoes (new, red, russet, etc.);Radicchio;Radishes;Rhubarb;Shallots;Soybeans;Spinach: baby, regular;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;;Eggs;"	Full shares;Half shares;	CSA offers options for specific product categories;	2014-10-31	One advance payment prior to the beginning of the delivery season;	Deliver directly to customer's homes;	Organic (USDA Certified);Humane treatment of animals;	Cash;Personal Checks;Debit card/Credit card;	
200106	Santorineos Family Farm	"1488 N 1659th Rd, Streator, Illinois 61364"	Year-round	"Apples;Apricots;Currants;Figs;Grapefruit (red, white, etc.);Kiwi;Pears;Plums (black, green, red, etc.);;Artichoke;Arugula;Beans (string);Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Broccoli rabe;Broccolini/baby broccoli;Brussels sprouts;Cabbage;Carrots;Cauliflower;Celery;Collard Greens;Corn (sweet);Cucumbers;Eggplant (Italian, Japanese, etc.);Endives;Garlic;Green beans;Green onions/scallions;Kale;Kohlrabi;Leeks;Lettuce (head, leaf, etc.);Mache/lamb’s lettuce;Mixed leafy greens;Mizuna;Okra;Peanuts;Peas;Peppers, hot;Peppers, sweet;Potatoes (new, red, russet, etc.);Radicchio;Radishes;Rhubarb;Rutabaga;Soybeans;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Swiss chard;Tomatillo;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;Turnips;;Baked goods: breads, pies, etc.;Canned or preserved fruits/vegetables: jams, jellies, preserves, salsas, pickles, dried fruit, etc.;Coffee and/or tea;Eggs;Fresh and/or dried herbs;Honey;"	Full shares;Half shares;	CSA decides product based on supply availability;	2014-06-06	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;	Customers pick up from CSA farm;Deliver to one or more neighborhood sites;	Organic (USDA Certified);No antibiotics;No hormones;No pesticides;Pasture-raised/free-range animals;Humane treatment of animals;	Cash;Personal Checks;Debit card/Credit card;	
200107	Tempel Farms Organics	"17970 W Millburn Road, Old Mill Creek, Illinois 60083"	Year-round	"Apples;Apricots;Cherries (sweet, tart, etc.);Currants;Dates;Figs;Grapefruit (red, white, etc.);Grapes (black, green, red, etc.);Honeydew melons;Kiwi;Oranges, clementine, mandarins, tangerines, tangelos;Pears;Plums (black, green, red, etc.);Watermelons;;Artichoke;Arugula;Asparagus;Beans (string);Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Broccoli rabe;Broccolini/baby broccoli;Brussels sprouts;Cabbage;Carrots;Cauliflower;Celery;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Endives;Garlic;Green beans;Kale;Kohlrabi;Leeks;Lettuce (head, leaf, etc.);Mixed leafy greens;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Peanuts;Peas;Peppers, hot;Peppers, sweet;Potatoes (new, red, russet, etc.);Radicchio;Radishes;Rhubarb;Shallots;Soybeans;Spinach: baby, regular;Squash, winter: butternut, etc.;Sweet potatoes;Swiss chard;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;Turnips;;Cut flowers;Eggs;Fresh and/or dried herbs;Honey;"	Full shares;Half shares;Fruit shares. Cut flower shares. Autumn shares. Thanksgiving shares.;	CSA offers options for specific product categories;	2014-01-01	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;	Deliver directly to customer's homes;	Organic (USDA Certified);	Cash;Personal Checks;Debit card/Credit card;	SNAP;
200108	Three Plaid Farmers	"1S164 Indian Knoll Rd, Winfield, Illinois 60190"	June to November	"Figs;Plums (black, green, red, etc.);;Cress, celeriac, Malabar spinach, orach, fennel, lemongrass, popping corn, Asian greens (e.g. shungiku, tatsoi, mibuna), edible flowers, herbal teasArtichoke;Arugula;Asparagus;Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Carrots;Cauliflower;Celery;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Endives;Garlic;Green beans;Kale;Kohlrabi;Mixed leafy greens;Mizuna;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Parsnips;Peanuts;Peas;Peppers, hot;Peppers, sweet;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Radishes;Rhubarb;Rutabaga;Shallots;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Swiss chard;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;Turnips;Cress, celeriac, Malabar spinach, orach, fennel, lemongrass, popping corn, Asian greens (e.g. shungiku, tatsoi, mibuna), edible flowers, herbal teas;;Cut flowers;Dry beans;Fresh and/or dried herbs;"	Half shares;	CSA decides product based on supply availability;	2015-03-23	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;Workershare option (five hours of work a week for a CSA share);	Deliver directly to customer's homes;	Organic (USDA Certified);No pesticides;	Cash;Personal Checks;Debit card/Credit card;	
200109	Thunder 5 Ranch Members Club	"RR1 Box 223AAA, McLeansboro, Illinois 62859"	Year-round	"Artichoke;Arugula;Beans (string);Beans, other (lima, etc.);Bok Choy;Broccoli;Broccoli rabe;Broccolini/baby broccoli;Carrots;Cauliflower;Collard Greens;Corn (sweet);Cucumbers;Garlic;Green beans;Kohlrabi;Mixed leafy greens;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Peanuts;Peas;Peppers, hot;Peppers, sweet;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Radishes;Rhubarb;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Swiss chard;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;Turnips;;Baked goods: breads, pies, etc.;Canned or preserved fruits/vegetables: jams, jellies, preserves, salsas, pickles, dried fruit, etc.;Coffee and/or tea;Eggs;Fresh and/or dried herbs;Mushrooms;Nuts;Chicken;Goose;Quail;Turkey;;Beef/veal (sausage);Beef/veal (steaks, roasts);Lamb (chops, roasts);Pork (bacon);Rabbit;;Soap and/or body care products;Wild harvested forest products: mushrooms, medicinal herbs, edible fruits and nuts, etc.;"	Full shares;Half shares;biweekly shares for LINK/EBT customers.;	CSA decides product based on supply availability;		One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;	Deliver directly to customer's homes;Deliver to one or more neighborhood sites;	Organic (USDA Certified);No antibiotics;No hormones;No pesticides;Pasture-raised/free-range animals;Humane treatment of animals;Sustainable land practices;	Cash;Personal Checks;Debit card/Credit card;	SNAP;
200110	Triple S Farms	"3078 County Highway 33, Stewardson, Illinois 62463"	Year-round	"Chicken;Turkey;;Beef/veal (cold cuts);Beef/veal (sausage);Beef/veal (steaks, roasts);Bison (steaks, roasts);Elk;Lamb (chops, roasts);Lamb (ground);Pork (bacon);Rabbit;;"						Organic (USDA Certified);		
200112	Wellhausen Farms	"PO Box 1602, Wheaton, Illinois 60187"	Year-round							Organic (USDA Certified);		
200113	Freedom Valley Farm	"P.O. Box 76, Freedom, Indiana 47431"	Year-round	"Artichoke;Arugula;Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Broccoli rabe;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Green beans;Kohlrabi;Mixed leafy greens;Mustard Greens;Okra;Peanuts;Peas;Peppers, hot;Peppers, sweet;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Rhubarb;Soybeans;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (plum, round, etc.);Turnip greens;Turnips;;"	Full shares;Half shares;microgreen option;	CSA decides product based on supply availability;	2015-05-07	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;	Deliver directly to customer's homes;Deliver to one or more neighborhood sites;	Organic (USDA Certified);No pesticides;no synthetic chemical fertilizers;	Cash;Personal Checks;Debit card/Credit card;	SNAP;
200114	Great Inspirations Farm	"624 E 950 N, Chesterton, Indiana 46391"	May to October	"Apricots;Currants;Figs;Pears;Plums (black, green, red, etc.);;Artichoke;Arugula;Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Broccoli rabe;Broccolini/baby broccoli;Brussels sprouts;Cabbage;Carrots;Cauliflower;Celery;Collard Greens;Corn (sweet);Cucumbers;Endives;Kale;Kohlrabi;Mixed leafy greens;Mustard Greens;Okra;Peanuts;Peas;Peppers, hot;Peppers, sweet;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Rhubarb;Rutabaga;Soybeans;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;Turnips;;Cut flowers;Dry beans;Eggs;Fresh and/or dried herbs;Maple syrup and/or maple products;"	Full shares;Half shares;	CSA offers options for specific product categories;	2014-02-01	"Two payments, one down payment at registration and final pay at the beginning.;"	Deliver directly to customer's homes;Deliver to customers' workplaces;Deliver to one or more neighborhood sites;	Organic (USDA Certified);No antibiotics;No hormones;No pesticides;Pasture-raised/free-range animals;Humane treatment of animals;Certified Naturally Grown;	Cash;Personal Checks;	
200115	Kolb Homestead	"3306 N State Road 65, Patoka, Indiana 47666"	May to November	"Bok Choy;Broccoli;Broccoli rabe;Carrots;Cauliflower;Collard Greens;Cucumbers;Kale;Mustard Greens;Okra;Peas;Peppers, sweet;Potatoes (new, red, russet, etc.);Pumpkin;Radishes;Rhubarb;Spinach: baby, regular;Sweet potatoes;Turnip greens;;Cut flowers;Eggs;"		CSA decides product based on supply availability;		One advance payment prior to the beginning of the delivery season;	Deliver to one or more neighborhood sites;	Organic (USDA Certified);	Personal Checks;	
200116	Landess Farm	"6000 WCR 700 S, Daleville, Indiana 47334"	April to October	"Cherries (sweet, tart, etc.);Figs;Pears;Plums (black, green, red, etc.);;Canned or preserved fruits/vegetables: jams, jellies, preserves, salsas, pickles, dried fruit, etc.;Honey;"						Organic (USDA Certified);No GMOs;		
200117	Old Loon Farm	"7551 N Brown Road, Columbia City, Indiana 46725"	May to October	"Artichoke;Arugula;Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Broccoli rabe;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Celery;Collard Greens;Corn (sweet);Cucumbers;Endives;Green beans;Kohlrabi;Lettuce (head, leaf, etc.);Mixed leafy greens;Mustard Greens;Okra;Peanuts;Peas;Peppers, sweet;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Rhubarb;Rutabaga;Shallots;Soybeans;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;;Baked goods: breads, pies, etc.;Cut flowers;Dairy products: milk, cheese, etc.;Eggs;Fresh and/or dried herbs;Chicken;;Bison (ground);;"	Half shares;	CSA decides product based on supply availability;	2014-04-27	1/2 @ order; balance due 30 days before delivery session starts;	Deliver to one or more neighborhood sites;	Organic (USDA Certified);No antibiotics;No hormones;No pesticides;Humane treatment of animals;	Cash;Personal Checks;	
200118	Stilhaven Farms	"PO Box 431, Colfax, Indiana 46035"	April to September	"Artichoke;Arugula;Asparagus;Beans, other (lima, etc.);Broccoli rabe;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Celery;Collard Greens;Cucumbers;Eggplant (Italian, Japanese, etc.);Garlic;Kale;Kohlrabi;Mixed leafy greens;Mustard Greens;Okra;Peanuts;Peas;Peppers, sweet;Potatoes (new, red, russet, etc.);Radicchio;Rhubarb;Rutabaga;Spinach: baby, regular;Squash, winter: butternut, etc.;Sweet potatoes;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);;Eggs;Maple syrup and/or maple products;Bison (ground);;"	Full shares;Half shares;	CSA decides product based on supply availability;	2014-04-05	One advance payment prior to the beginning of the delivery season;	Deliver directly to customer's homes;Deliver to one or more neighborhood sites;	Organic (USDA Certified);No pesticides;Humane treatment of animals;grown using natural methods;	Cash;Personal Checks;Debit card/Credit card;	
200119	Tuttle Orchards	"5717 North 300 West, Greenfield, Indiana 46140"	Year-round	"Apples;Cherries (sweet, tart, etc.);Currants;Figs;Grapes (black, green, red, etc.);Pears;Plums (black, green, red, etc.);;Artichoke;Arugula;Beans, other (lima, etc.);Bok Choy;Broccoli rabe;Broccolini/baby broccoli;Carrots;Collard Greens;Corn (sweet);Cucumbers;Kale;Kohlrabi;Mixed leafy greens;Mustard Greens;Okra;Peanuts;Peas;Peppers, sweet;Rhubarb;Soybeans;Spinach: baby, regular;Sweet potatoes;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);;Canned or preserved fruits/vegetables: jams, jellies, preserves, salsas, pickles, dried fruit, etc.;"	Full shares;Half shares;	CSA decides product based on supply availability;CSA offers options for specific product categories;	2014-03-01	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;	Deliver directly to customer's homes;Deliver to one or more neighborhood sites;	Organic (USDA Certified);	Personal Checks;Debit card/Credit card;	
200120	Victory Acres Farm and CSA	"5275 S. 800 E., Upland, Indiana 46989"	April to October	"Asian PearsApples;Cherries (sweet, tart, etc.);Figs;Kiwi;Pears;Asian Pears;;Arugula;Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Broccoli rabe;Broccolini/baby broccoli;Carrots;Cauliflower;Collard Greens;Corn (sweet);Cucumbers;Eggplant (Italian, Japanese, etc.);Green beans;Kale;Kohlrabi;Mixed leafy greens;Mizuna;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Peanuts;Peas;Peppers, sweet;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Radishes;Rhubarb;Shallots;Soybeans;Spinach: baby, regular;Squash, summer: zucchini, etc.;Squash, winter: butternut, etc.;Sweet potatoes;Swiss chard;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;Turnips;;Cut flowers;Eggs;Fresh and/or dried herbs;Honey;Maple syrup and/or maple products;Mushrooms;Chicken;Turkey;;Beef/veal (sausage);Beef/veal (steaks, roasts);Lamb (chops, roasts);Lamb (ground);Pork (bacon);Rabbit;;"	Half shares;	CSA decides product based on supply availability;	2014-01-01	One advance payment prior to the beginning of the delivery season;Payments in installments over the course of each delivery season;	Deliver directly to customer's homes;	Organic (USDA Certified);Humane treatment of animals;	Cash;Personal Checks;	
200121	White Violet Center for Eco-Justice CSA	"One Sisters of Providence, St. Mary of the Woods, Indiana 47876"	May to December	"ground cherriesApples;Cherries (sweet, tart, etc.);Currants;ground cherries;;Artichoke;Arugula;Beans, other (lima, etc.);Beets;Bok Choy;Broccoli;Broccolini/baby broccoli;Cabbage;Carrots;Cauliflower;Celery;Collard Greens;Corn (sweet);Cucumbers;Garlic;Green beans;Kale;Kohlrabi;Lettuce (head, leaf, etc.);Mixed leafy greens;Mustard Greens;Okra;Onions (pearl, red, white, etc.);Peanuts;Peas;Peppers, hot;Peppers, sweet;Potatoes (new, red, russet, etc.);Pumpkin;Radicchio;Radishes;Rhubarb;Rutabaga;Shallots;Spinach: baby, regular;Squash, winter: butternut, etc.;Sweet potatoes;Swiss chard;Tomatoes (cherry, grape, etc.);Tomatoes (plum, round, etc.);Turnip greens;Turnips;;Canned or preserved fruits/vegetables: jams, jellies, preserves, salsas, pickles, dried fruit, etc.;Cut flowers;Eggs;Fresh and/or dried herbs;Honey;"	Full shares;Half shares;	CSA decides product based on supply availability;	2014-05-28	One advance payment prior to the beginning of the delivery season;Reduced subscription/membership fees in exchange for labor;	Deliver directly to customer's homes;	Organic (USDA Certified);No antibiotics;No hormones;No pesticides;Humane treatment of animals;	Cash;Personal Checks;Debit card/Credit card;	
